Full Name,Jersey Number,Last Name,First Name,Country Code,Matches Played,Points,Tries,Conv. made,Conv. attempted,Conv. percent,Age,Height,Weight,Team Placement,Yellow Cards,Red Cards,World Rugby Tournaments
KILDUNNE Ellie,8,Kildunne,Ellie,GBR,6,5,1,0,1,0.00,24,176,68,7,1,0,8
NORMAN-BELL Isla,9,Norman-Bell,Isla,GBR,6,24,2,7,7,100.00,24,160,57,7,1,0,18
JONES Meg,10,Jones,Meg,GBR,6,12,2,1,2,50.00,27,165,67,7,1,0,25
JOYCE Jasmine,11,Joyce,Jasmine,GBR,6,20,4,0,0,N/A,28,165,79,7,0,0,17
N/A,12,Wilson Hardy,Amy,GBR,4,0,0,0,0,N/A,32,168,70,7,0,0,50
N/A,13,Burton,Abi,GBR,2,0,0,0,0,N/A,24,183,78,7,0,0,22
N/A,14,Powell,Kayleigh,GBR,1,0,0,0,0,N/A,25,156,61,7,0,0,10
N/A,1,Orchard,Ashleigh,IRL,3,0,0,0,0,N/A,32,164,62,8,0,0,20
ELMES KINLAN Vicki,2,Elmes Kinlan,Vicki,IRL,4,5,1,0,0,N/A,21,170,72,8,0,0,16
FLOOD Stacey,3,Flood,Stacey,IRL,6,18,2,4,4,100.00,27,177,69,8,1,0,42
N/A,4,Fitzpatrick,Alanna,IRL,2,0,0,0,0,N/A,19,167,64,8,0,0,3
MURPHY CROWE Amee Leigh,5,Murphy Crowe,Amee Leigh,IRL,6,15,3,0,0,N/A,29,170,57,8,0,0,48
N/A,6,Baker,Kathy,IRL,5,0,0,0,0,N/A,26,169,68,8,0,0,19
PARSONS Beibhinn,7,Parsons,Beibhinn,IRL,4,10,2,0,0,N/A,22,168,72,8,0,0,19
BURNS Megan,8,Burns,Megan,IRL,6,5,1,0,0,N/A,24,168,61,8,0,0,28
MULHALL ROCK Lucy,9,Rock,Lucy,IRL,2,4,0,2,3,66.67,30,163,61,8,0,0,40
HIGGINS Eve,10,Higgins,Eve,IRL,6,28,4,4,7,57.14,25,173,70,8,0,0,36
N/A,11,King,Erin,IRL,6,0,0,0,0,N/A,20,170,76,8,1,0,20
N/A,12,Lane,Emily,IRL,6,0,0,0,0,N/A,25,164,60,8,0,0,27
BOLES Claire,13,Boles,Claire,IRL,1,5,1,0,0,N/A,26,169,70,8,0,0,23
N/A,14,Larn,Amy,IRL,2,0,0,0,0,N/A,20,168,64,8,0,0,1
N/A,1,Nakamura,Chiharu,JPN,5,0,0,0,0,N/A,36,163,65,9,0,0,35
KAJIKI Marin,2,Kajiki,Marin,JPN,5,25,5,0,0,N/A,24,164,68,9,0,0,17
MATSUDA Rinka,3,Matsuda,Rinka,JPN,5,5,1,0,0,N/A,22,170,74,9,0,0,3
MIZUTANI Sakura,4,Mizutani,Sakura,JPN,5,5,1,0,0,N/A,20,166,65,9,0,0,14
SAEGUSA Chiaki,5,Saegusa,Chiaki,JPN,5,5,1,0,0,N/A,27,167,68,9,0,0,15
OHTANI Mei,6,Ohtani,Mei,JPN,3,5,1,0,0,N/A,24,162,61,9,0,0,17
HIRANO Yume,7,Hirano,Yume,JPN,5,7,1,1,6,16.67,24,160,60,9,0,0,27
NISHI Arisa,8,Nishi,Arisa,JPN,5,4,0,2,4,50.00,20,164,63,9,0,0,4
UTSUMI Hanako,9,Utsumi,Hanako,JPN,5,18,2,4,5,80.00,24,160,60,9,0,0,9
TANAKA Emii,10,Tanaka,Emii,JPN,5,10,2,0,0,N/A,24,166,65,9,0,0,14
HARA Wakaba,11,Hara,Wakaba,JPN,4,5,1,0,0,N/A,24,160,60,9,0,0,18
TSUTSUMI Honoka,12,Tsutsumi,Honoka,JPN,5,10,2,0,0,N/A,27,154,56,9,0,0,13
N/A,14,Tsujisaki,Yukino,JPN,2,0,0,0,0,N/A,30,161,61,9,0,0,10
POURI-LANE Risi,1,Pouri-Lane,Risi,NZL,6,30,2,10,15,66.67,24,164,63,1,0,0,23
MILLER Jorja,2,Miller,Jorja,NZL,6,15,3,0,0,N/A,20,167,71,1,0,0,15
WAAKA Stacey,3,Waaka,Stacey,NZL,6,35,7,0,0,N/A,28,173,73,1,0,0,29
NUKU Manaia,4,Nuku,Manaia,NZL,5,7,1,1,1,100.00,21,169,68,1,0,0,11
HIRINI Sarah,5,Hirini,Sarah,NZL,6,15,3,0,0,N/A,31,177,76,1,1,0,48
BLYDE Michaela,6,Blyde,Michaela,NZL,6,50,10,0,0,N/A,28,165,65,1,0,0,44
KING Tyla,7,King,Tyla,NZL,6,20,0,10,18,55.56,30,165,59,1,0,0,51
PAUL Mahina,8,Paul,Mahina,NZL,4,10,2,0,0,N/A,23,169,74,1,0,0,12
FELIX-HOTHAM Jazmin,9,Felix-Hotham,Jazmin,NZL,6,20,4,0,0,N/A,24,172,67,1,0,0,18
N/A,10,Setefano,Theresa,NZL,6,0,0,0,0,N/A,29,168,75,1,0,0,32
WOODMAN-WICKLIFFE Portia,11,Woodman-Wickliffe,Portia,NZL,6,10,2,0,0,N/A,33,172,75,1,1,0,46
N/A,12,Saili,Alena,NZL,6,0,0,0,0,N/A,25,180,70,1,0,0,28
JANSE van RENSBURG Libbie,1,Janse van Rensburg,Libbie,RSA,5,10,2,0,0,N/A,29,178,78,11,0,0,4
N/A,2,Dolf,Byrhandre,RSA,5,0,0,0,0,N/A,21,169,62,11,0,0,3
MALINGA Ayanda,3,Malinga,Ayanda,RSA,5,5,1,0,0,N/A,26,167,68,11,0,0,10
MPUPHA Zintle,4,Mpupha,Zintle,RSA,5,5,1,0,0,N/A,30,161,69,11,0,0,14
N/A,5,de Bruin,Marlize,RSA,5,0,0,0,0,N/A,29,170,69,11,0,0,8
N/A,6,Grain,Veroeshka,RSA,4,0,0,0,0,N/A,33,165,62,11,0,0,11
N/A,7,Tshiremba,Maria,RSA,5,0,0,0,0,N/A,28,168,63,11,0,0,6
N/A,8,Solontsi,Sizophila,RSA,5,0,0,0,0,N/A,32,162,74,11,0,0,5
ROOS Nadine,9,Roos,Nadine,RSA,5,35,5,5,9,55.56,28,164,62,11,0,0,15
N/A,10,Simmers,Mathrin,RSA,4,0,0,0,0,N/A,36,162,64,11,0,0,24
N/A,11,Baloyi,Kemisetso,RSA,5,0,0,0,0,N/A,26,167,70,11,0,0,11
N/A,12,Lategan,Liske,RSA,5,0,0,0,0,N/A,25,171,69,11,0,0,13
N/A,13,Lamprecht,Shiniqwa,RSA,1,0,0,0,0,N/A,21,170,74,11,0,0,8
N/A,1,Ramsey,Ariana,USA,6,0,0,0,0,N/A,24,162,63,3,0,0,8
MAHER Ilona,2,Maher,Ilona,USA,6,15,3,0,0,N/A,27,177,90,3,0,0,30
CANETT Kayla,3,Canett-Oca,Kayla,USA,6,10,0,5,11,45.45,26,160,63,3,1,0,30
SULLIVAN Sammy,4,Sullivan,Sammy,USA,6,15,3,0,0,N/A,26,163,65,3,0,0,14
KELTER Alev,5,Kelter,Alev,USA,6,21,3,3,5,60.00,33,170,76,3,0,0,49
N/A,6,Doyle,Lauren,USA,6,0,0,0,0,N/A,33,170,65,3,0,0,48
TAPPER Naya,7,Tapper,Naya,USA,6,10,2,0,0,N/A,29,175,79,3,0,0,38
SEDRICK Alex,8,Sedrick,Alex,USA,6,17,3,1,1,100.00,26,160,62,3,0,0,18
OLSEN Alena,9,Olsen,Alena,USA,6,4,0,2,2,100.00,28,163,63,3,0,0,24
N/A,10,Rovetti,Steph,USA,6,0,0,0,0,N/A,32,162,63,3,0,0,15
LEVY Sarah,11,Levy,Sarah,USA,3,5,1,0,0,N/A,28,162,63,3,0,0,11
KIRSHE Kristi,12,Kirshe,Kristi,USA,6,20,4,0,0,N/A,29,160,65,3,0,0,26
